381 7
INST TIME1 TIME2 PARTIDA REND1 REND2 RESULT
1 America/RN Atletico/MG final Ruim Bom false
2 America/RN Botafogo/RJ final Ruim Otimo false
3 America/RN Flamengo/RJ final Ruim Otimo false
4 America/RN Gremio/RS final Ruim Bom false
5 America/RN Corinthians/SP inicio Ruim Fantastico false
6 America/RN Figueirense/SC inicio Ruim Bom false
7 America/RN Fluminense/RJ inicio Ruim Otimo false
8 America/RN Vasco/RJ inicio Ruim Fantastico false
9 America/RN Cruzeiro/MG meio Ruim Otimo false
10 America/RN Nautico/PE meio Ruim Bom false
11 America/RN Santos/SP meio Ruim Bom false
12 America/RN Atletico/PR semi Ruim Bom true
13 America/RN Goias/GO semi Ruim Otimo false
14 America/RN Internacional/RS semi Ruim Regular false
15 America/RN SaoPaulo/SP semi Ruim Otimo false
16 America/RN Juventude/RS semi-final Ruim Ruim false
17 America/RN Palmeiras/SP semi-final Ruim Otimo false
18 America/RN Parana/PR semi-final Ruim Bom true
19 America/RN Sport/PE semi-final Ruim Regular false
20 Atletico/MG Goias/GO final Bom Regular true
21 Atletico/MG Juventude/RS final Bom Regular true
22 Atletico/MG Parana/PR final Bom Bom false
23 Atletico/MG Vasco/RJ final Bom Bom true
24 Atletico/MG Atletico/PR inicio Bom Fantastico false
25 Atletico/MG Figueirense/SC inicio Otimo Regular true
26 Atletico/MG Flamengo/RJ inicio Bom Otimo false
27 Atletico/MG Nautico/PE inicio Fantastico Ruim true
28 Atletico/MG Botafogo/RJ meio Bom Fantastico false
29 Atletico/MG Corinthians/SP meio Bom Otimo true
30 Atletico/MG Palmeiras/SP meio Bom Fantastico false
31 Atletico/MG Santos/SP meio Bom Bom false
32 Atletico/MG America/RN semi Bom Bom true
33 Atletico/MG Fluminense/RJ semi Bom Otimo true
34 Atletico/MG Gremio/RS semi Bom Otimo false
35 Atletico/MG Cruzeiro/MG semi-final Regular Otimo false
36 Atletico/MG Internacional/RS semi-final Regular Bom false
37 Atletico/MG SaoPaulo/SP semi-final Bom Fantastico false
38 Atletico/MG Sport/PE semi-final Bom Regular true
39 Atletico/PR America/RN final Bom Regular true
40 Atletico/PR Gremio/RS final Bom Bom true
41 Atletico/PR SaoPaulo/SP final Bom Otimo true
42 Atletico/PR Sport/PE final Bom Regular false
43 Atletico/PR Fluminense/RJ inicio Regular Bom false
44 Atletico/PR Goias/GO inicio Regular Regular false
45 Atletico/PR Internacional/RS inicio Fantastico Ruim true
46 Atletico/PR Santos/SP inicio Bom Bom false
47 Atletico/PR Figueirense/SC meio Regular Otimo false
48 Atletico/PR Corinthians/SP semi Regular Bom false
49 Atletico/PR Cruzeiro/MG semi Regular Otimo false
50 Atletico/PR Flamengo/RJ semi Bom Otimo true
51 Atletico/PR Juventude/RS semi Regular Ruim true
52 Atletico/PR Nautico/PE semi Regular Regular false
53 Atletico/PR Atletico/MG semi-final Regular Bom true
54 Atletico/PR Botafogo/RJ semi-final Bom Otimo true
55 Atletico/PR Palmeiras/SP semi-final Bom Fantastico true
56 Atletico/PR Parana/PR semi-final Bom Bom true
57 Atletico/PR Vasco/RJ semi-final Bom Bom true
58 Botafogo/RJ Cruzeiro/MG final Bom Otimo true
59 Botafogo/RJ Figueirense/SC final Bom Bom false
60 Botafogo/RJ Parana/PR final Bom Regular true
61 Botafogo/RJ Sport/PE final Bom Regular true
62 Botafogo/RJ Atletico/MG inicio Fantastico Ruim true
63 Botafogo/RJ Gremio/RS inicio Fantastico Ruim true
64 Botafogo/RJ Nautico/PE inicio Fantastico Ruim true
65 Botafogo/RJ Vasco/RJ inicio Fantastico Bom true
66 Botafogo/RJ Corinthians/SP meio Otimo Otimo false
67 Botafogo/RJ Flamengo/RJ meio Otimo Otimo false
68 Botafogo/RJ Internacional/RS meio Otimo Bom false
69 Botafogo/RJ SaoPaulo/SP meio Fantastico Fantastico false
70 Botafogo/RJ America/RN semi Fantastico Bom true
71 Botafogo/RJ Atletico/PR semi Fantastico Fantastico true
72 Botafogo/RJ Juventude/RS semi Fantastico Ruim true
73 Botafogo/RJ Fluminense/RJ semi-final Bom Otimo false
74 Botafogo/RJ Goias/GO semi-final Bom Regular false
75 Botafogo/RJ Palmeiras/SP semi-final Bom Fantastico false
76 Botafogo/RJ Santos/SP semi-final Bom Bom false
77 Corinthians/SP Atletico/PR final Regular Bom false
78 Corinthians/SP Figueirense/SC final Regular Bom true
79 Corinthians/SP Internacional/RS final Regular Bom false
80 Corinthians/SP Vasco/RJ final Regular Bom false
81 Corinthians/SP Atletico/MG inicio Bom Bom false
82 Corinthians/SP Juventude/RS inicio Fantastico Ruim true
