INST TIME1 TIME2 PARTIDA REND1 REND2 RESULT
1 Goias/GO Atletico/MG inicio Bom Ruim false
2 Atletico/PR Atletico/MG inicio Regular Bom false
3 Sao-Paulo/SP Atletico/MG inicio Bom Fantastico true
4 Nautico/PE Atletico/MG inicio Otimo Regular true
5 Figueirense/SC Atletico/MG semi Otimo Otimo false
6 Cruzeiro/MG Atletico/MG semi Fantastico Regular true
7 Internacional/RS Atletico/MG semi Fantastico Otimo true
8 Botafogo/RJ Atletico/MG semi Otimo Regular true
9 Vasco/RJ Atletico/MG meio Bom Ruim true
10 Santos/SP Atletico/MG meio Ruim Fantastico false
11 Fluminense/RJ Atletico/MG meio Bom Regular true
12 Portuguesa/SP Atletico/MG semi-final Regular Regular false
13 Ipatinga/MG Atletico/MG semi-final Bom Regular true
14 Palmeiras/SP Atletico/MG semi-final Fantastico Fantastico true
15 Flamengo/RJ Atletico/MG semi-final Ruim Fantastico false
16 Coritiba/PR Atletico/MG final Fantastico Fantastico true
17 Vitoria/BA Atletico/MG final Bom Bom false
18 Sport/PE Atletico/MG final Otimo Otimo true
19 Gremio/RS Atletico/MG final Fantastico Bom true
20 Ipatinga/MG Atletico/PR inicio Otimo Ruim false
21 Palmeiras/SP Atletico/PR inicio Otimo Ruim true
22 Portuguesa/SP Atletico/PR inicio Otimo Ruim true
23 Gremio/RS Atletico/PR inicio Bom Ruim true
24 Fluminense/RJ Atletico/PR semi Regular Ruim true
25 Cruzeiro/MG Atletico/PR semi Bom Bom true
26 Sport/PE Atletico/PR semi Bom Ruim true
27 Vitoria/BA Atletico/PR meio Otimo Ruim true
28 Flamengo/RJ Atletico/PR meio Otimo Ruim true
29 Sao-Paulo/SP Atletico/PR meio Bom Ruim true
30 Atletico/MG Atletico/PR meio Bom Bom true
31 Goias/GO Atletico/PR semi-final Regular Ruim true
32 Coritiba/PR Atletico/PR semi-final Regular Ruim false
33 Santos/SP Atletico/PR semi-final Regular Regular true
34 Internacional/RS Atletico/PR semi-final Otimo Regular true
35 Vasco/RJ Atletico/PR final Otimo Regular false
36 Figueirense/SC Atletico/PR final Ruim Fantastico false
37 Botafogo/RJ Atletico/PR final Regular Regular false
38 Nautico/PE Atletico/PR final Fantastico Fantastico true
39 Cruzeiro/MG Botafogo/RJ inicio Otimo Ruim true
40 Nautico/PE Botafogo/RJ inicio Bom Ruim true
41 Internacional/RS Botafogo/RJ inicio Fantastico Ruim true
42 Fluminense/RJ Botafogo/RJ semi Ruim Ruim false
43 Vitoria/BA Botafogo/RJ semi Regular Regular true
44 Santos/SP Botafogo/RJ semi Ruim Bom false
45 Sao-Paulo/SP Botafogo/RJ semi Bom Ruim true
46 Flamengo/RJ Botafogo/RJ semi Bom Regular false
47 Atletico/PR Botafogo/RJ meio Regular Bom false
48 Figueirense/SC Botafogo/RJ meio Bom Otimo false
49 Sport/PE Botafogo/RJ meio Bom Regular false
50 Vasco/RJ Botafogo/RJ meio Bom Regular false
51 Coritiba/PR Botafogo/RJ semi-final Bom Bom false
52 Portuguesa/SP Botafogo/RJ semi-final Bom Bom true
53 Gremio/RS Botafogo/RJ semi-final Otimo Bom true
54 Ipatinga/MG Botafogo/RJ final Ruim Fantastico false
55 Atletico/MG Botafogo/RJ final Bom Fantastico true
56 Goias/GO Botafogo/RJ final Fantastico Fantastico true
57 Palmeiras/SP Botafogo/RJ final Otimo Fantastico false
58 Figueirense/SC Coritiba/PR inicio Fantastico Ruim true
59 Sao-Paulo/SP Coritiba/PR inicio Regular Ruim false
60 Botafogo/RJ Coritiba/PR inicio Otimo Ruim true
61 Atletico/PR Coritiba/PR semi Bom Bom false
62 Internacional/RS Coritiba/PR semi Fantastico Fantastico true
63 Goias/GO Coritiba/PR semi Bom Ruim false
64 Atletico/MG Coritiba/PR semi Regular Fantastico true
65 Nautico/PE Coritiba/PR semi Bom Bom false
66 Santos/SP Coritiba/PR meio Bom Otimo false
67 Vasco/RJ Coritiba/PR meio Bom Regular false
68 Palmeiras/SP Coritiba/PR meio Fantastico Fantastico true
69 Cruzeiro/MG Coritiba/PR semi-final Otimo Bom false
70 Vitoria/BA Coritiba/PR semi-final Bom Bom true
71 Fluminense/RJ Coritiba/PR semi-final Bom Bom false
72 Portuguesa/SP Coritiba/PR semi-final Bom Otimo false
73 Flamengo/RJ Coritiba/PR final Bom Fantastico true
74 Ipatinga/MG Coritiba/PR final Bom Fantastico true
75 Gremio/RS Coritiba/PR final Fantastico Bom true
76 Sport/PE Coritiba/PR final Bom Otimo true
77 Vitoria/BA Cruzeiro/MG inicio Ruim Bom false
78 Coritiba/PR Cruzeiro/MG inicio Bom Ruim false
79 Palmeiras/SP Cruzeiro/MG inicio Fantastico Otimo true
80 Sport/PE Cruzeiro/MG semi Otimo Ruim true
81 Ipatinga/MG Cruzeiro/MG semi Bom Regular false
82 Gremio/RS Cruzeiro/MG semi Otimo Regular true
83 Fluminense/RJ Cruzeiro/MG semi Ruim Otimo false
84 Flamengo/RJ Cruzeiro/MG meio Otimo Regular false
85 Portuguesa/SP Cruzeiro/MG meio Otimo Fantastico true
86 Botafogo/RJ Cruzeiro/MG meio Bom Bom true
87 Santos/SP Cruzeiro/MG meio Ruim Fantastico true
88 Vasco/RJ Cruzeiro/MG semi-final Ruim Fantastico false
89 Figueirense/SC Cruzeiro/MG semi-final Bom Otimo false
90 Sao-Paulo/SP Cruzeiro/MG semi-final Otimo Fantastico true
91 Atletico/MG Cruzeiro/MG semi-final Regular Fantastico false
92 Atletico/PR Cruzeiro/MG final Otimo Fantastico true
93 Goias/GO Cruzeiro/MG final Otimo Fantastico true
94 Nautico/PE Cruzeiro/MG final Fantastico Fantastico true
95 Internacional/RS Cruzeiro/MG final Bom Bom true
96 Portuguesa/SP Figueirense/SC inicio Otimo Ruim false
97 Vitoria/BA Figueirense/SC inicio Regular Ruim true
98 Flamengo/RJ Figueirense/SC inicio Otimo Ruim true
99 Cruzeiro/MG Figueirense/SC inicio Fantastico Ruim true
100 Palmeiras/SP Figueirense/SC semi Otimo Ruim false
101 Ipatinga/MG Figueirense/SC semi Bom Regular false
102 Fluminense/RJ Figueirense/SC semi Bom Regular true
103 Atletico/PR Figueirense/SC semi Bom Regular false
104 Nautico/PE Figueirense/SC meio Bom Bom false
105 Internacional/RS Figueirense/SC meio Bom Bom false
106 Coritiba/PR Figueirense/SC meio Bom Regular true
107 Goias/GO Figueirense/SC semi-final Fantastico Fantastico true
108 Sport/PE Figueirense/SC semi-final Otimo Otimo true
109 Atletico/MG Figueirense/SC semi-final Bom Bom false
110 Vasco/RJ Figueirense/SC semi-final Otimo Bom false
111 Santos/SP Figueirense/SC final Bom Fantastico true
112 Gremio/RS Figueirense/SC final Bom Fantastico false
113 Sao-Paulo/SP Figueirense/SC final Fantastico Fantastico true
114 Botafogo/RJ Figueirense/SC final Bom Bom false
115 Gremio/RS Flamengo/RJ inicio Otimo Ruim false
116 Fluminense/RJ Flamengo/RJ inicio Regular Bom false
117 Ipatinga/MG Flamengo/RJ inicio Bom Ruim false
118 Sport/PE Flamengo/RJ semi Otimo Fantastico false
119 Atletico/MG Flamengo/RJ semi Bom Otimo false
120 Coritiba/PR Flamengo/RJ semi Bom Regular true
121 Portuguesa/SP Flamengo/RJ semi Bom Bom false
122 Palmeiras/SP Flamengo/RJ meio Fantastico Fantastico true
123 Goias/GO Flamengo/RJ meio Fantastico Fantastico true
124 Santos/SP Flamengo/RJ meio Bom Otimo false
125 Internacional/RS Flamengo/RJ meio Otimo Fantastico false
126 Figueirense/SC Flamengo/RJ semi-final Otimo Fantastico false
127 Sao-Paulo/SP Flamengo/RJ semi-final Bom Fantastico true
128 Nautico/PE Flamengo/RJ semi-final Ruim Fantastico false
129 Vasco/RJ Flamengo/RJ semi-final Ruim Fantastico false
130 Vitoria/BA Flamengo/RJ final Bom Otimo false
131 Botafogo/RJ Flamengo/RJ final Bom Fantastico false
132 Cruzeiro/MG Flamengo/RJ final Fantastico Fantastico true
133 Atletico/PR Flamengo/RJ final Fantastico Fantastico true
134 Atletico/MG Fluminense/RJ inicio Ruim Fantastico false
135 Sport/PE Fluminense/RJ inicio Bom Ruim true
136 Gremio/RS Fluminense/RJ inicio Regular Ruim true
137 Coritiba/PR Fluminense/RJ inicio Bom Ruim true
138 Goias/GO Fluminense/RJ semi Regular Regular true
139 Palmeiras/SP Fluminense/RJ semi Otimo Ruim true
140 Vasco/RJ Fluminense/RJ semi Ruim Fantastico false
141 Portuguesa/SP Fluminense/RJ meio Otimo Ruim true
142 Ipatinga/MG Fluminense/RJ meio Bom Ruim true
143 Nautico/PE Fluminense/RJ meio Ruim Fantastico false
144 Flamengo/RJ Fluminense/RJ semi-final Bom Regular false
145 Santos/SP Fluminense/RJ semi-final Bom Bom true
146 Botafogo/RJ Fluminense/RJ semi-final Bom Bom false
147 Atletico/PR Fluminense/RJ semi-final Regular Otimo false
148 Vitoria/BA Fluminense/RJ semi-final Otimo Regular false
149 Figueirense/SC Fluminense/RJ final Bom Bom false
150 Cruzeiro/MG Fluminense/RJ final Otimo Bom true
151 Internacional/RS Fluminense/RJ final Otimo Fantastico false
152 Sao-Paulo/SP Fluminense/RJ final Otimo Fantastico false
153 Nautico/PE Goias/GO inicio Otimo Ruim true
154 Figueirense/SC Goias/GO inicio Bom Ruim false
155 Atletico/PR Goias/GO inicio Bom Ruim true
156 Santos/SP Goias/GO inicio Ruim Fantastico false
157 Vitoria/BA Goias/GO semi Bom Regular true
158 Internacional/RS Goias/GO semi Fantastico Otimo true
159 Vasco/RJ Goias/GO semi Bom Ruim false
160 Cruzeiro/MG Goias/GO semi Otimo Regular false
161 Botafogo/RJ Goias/GO meio Otimo Bom true
162 Sao-Paulo/SP Goias/GO meio Bom Regular true
163 Atletico/MG Goias/GO meio Ruim Fantastico false
164 Ipatinga/MG Goias/GO meio Otimo Regular true
165 Gremio/RS Goias/GO semi-final Otimo Otimo false
166 Fluminense/RJ Goias/GO semi-final Regular Regular false
167 Coritiba/PR Goias/GO semi-final Fantastico Fantastico false
168 Palmeiras/SP Goias/GO final Fantastico Fantastico true
169 Sport/PE Goias/GO final Bom Bom true
170 Portuguesa/SP Goias/GO final Bom Fantastico false
171 Flamengo/RJ Goias/GO final Regular Fantastico false
172 Sao-Paulo/SP Gremio/RS inicio Bom Ruim false
173 Vasco/RJ Gremio/RS inicio Otimo Ruim true
174 Goias/GO Gremio/RS inicio Bom Ruim false
175 Botafogo/RJ Gremio/RS semi Bom Regular true
176 Santos/SP Gremio/RS semi Ruim Fantastico false
177 Sport/PE Gremio/RS semi Bom Otimo false
178 Figueirense/SC Gremio/RS semi Bom Fantastico false
179 Coritiba/PR Gremio/RS meio Bom Bom false
180 Atletico/MG Gremio/RS meio Regular Regular false
181 Flamengo/RJ Gremio/RS meio Otimo Bom true
182 Nautico/PE Gremio/RS meio Ruim Fantastico false
183 Fluminense/RJ Gremio/RS semi-final Bom Bom false
184 Atletico/PR Gremio/RS semi-final Regular Fantastico false
185 Internacional/RS Gremio/RS semi-final Bom Otimo true
186 Portuguesa/SP Gremio/RS semi-final Bom Otimo true
187 Cruzeiro/MG Gremio/RS final Otimo Bom true
188 Palmeiras/SP Gremio/RS final Fantastico Fantastico false
