381 6
inst time_1 time_2 tempo_partida rendimento resultado
1 America/RN Vasco/RJ inicio Ruim false
2 America/RN Figueirense/SC inicio Ruim false
3 America/RN Corinthians/SP inicio Ruim false
4 America/RN Fluminense/RJ inicio Ruim false
5 America/RN Goias/GO semi Ruim false
6 America/RN Internacional/RS semi Ruim false
7 America/RN Atletico/PR semi Ruim true
8 America/RN SaoPaulo/SP semi Ruim false
9 America/RN Nautico/PE meio Ruim false
10 America/RN Cruzeiro/MG meio Ruim false
11 America/RN Santos/SP meio Ruim false
12 America/RN Juventude/RS semi-final Ruim false
13 America/RN Sport/PE semi-final Ruim false
14 America/RN Palmeiras/SP semi-final Ruim false
15 America/RN Parana/PR semi-final Ruim true
16 America/RN Atletico/MG final Ruim false
17 America/RN Flamengo/RJ final Ruim false
18 America/RN Botafogo/RJ final Ruim false
19 America/RN Gremio/RS final Ruim false
20 Atletico/MG Nautico/PE inicio Fantastico true
21 Atletico/MG Atletico/PR inicio Bom false
22 Atletico/MG Figueirense/SC inicio Otimo true
23 Atletico/MG Flamengo/RJ inicio Bom false
24 Atletico/MG Gremio/RS semi Bom false
25 Atletico/MG America/RN semi Bom true
26 Atletico/MG Fluminense/RJ semi Bom true
27 Atletico/MG Santos/SP meio Bom false
28 Atletico/MG Palmeiras/SP meio Bom false
29 Atletico/MG Botafogo/RJ meio Bom false
30 Atletico/MG Corinthians/SP meio Bom true
31 Atletico/MG SaoPaulo/SP semi-final Bom false
32 Atletico/MG Cruzeiro/MG semi-final Regular false
33 Atletico/MG Internacional/RS semi-final Regular false
34 Atletico/MG Sport/PE semi-final Bom true
35 Atletico/MG Vasco/RJ final Bom true
36 Atletico/MG Parana/PR final Bom false
37 Atletico/MG Juventude/RS final Bom true
38 Atletico/MG Goias/GO final Bom true
39 Atletico/PR Internacional/RS inicio Fantastico true
40 Atletico/PR Santos/SP inicio Bom false
41 Atletico/PR Goias/GO inicio Regular false
42 Atletico/PR Fluminense/RJ inicio Regular false
43 Atletico/PR Nautico/PE semi Regular false
44 Atletico/PR Juventude/RS semi Regular true
45 Atletico/PR Flamengo/RJ semi Bom true
