inst time_1 time_2 tempo_partida rendimento 
1 Atletico/MG Fluminense/RJ inicio Ruim 
2 Atletico/MG Gremio/RS meio Fantastico 
3 Atletico/MG Figueirense/SC semi-final Fantastico 
4 Atletico/MG Cruzeiro/MG semi-final Fantastico 
5 Atletico/MG Santos/SP final Fantastico 
6 Atletico/MG Palmeiras/SP semi Fantastico 
7 Atletico/MG Flamengo/RJ semi Fantastico 
8 Atletico/MG Goias/GO meio Fantastico 
9 Atletico/MG Sao-Paulo/SP semi-final Fantastico 
10 Atletico/MG Portuguesa/SP inicio Fantastico 
11 Atletico/MG Vitoria/BA semi Fantastico 
12 Atletico/MG Sport/PE meio Fantastico 
13 Atletico/MG Nautico/PE semi-final Fantastico 
14 Atletico/MG Internacional/RS final Fantastico 
15 Atletico/MG Botafogo/RJ final Fantastico 
16 Atletico/MG Coritiba/PR semi Fantastico 
17 Atletico/MG Ipatinga/MG inicio Fantastico 
18 Atletico/MG Atletico/PR meio Fantastico 
19 Atletico/MG Vasco/RJ final Fantastico 
20 Atletico/PR Figueirense/SC semi Fantastico 
21 Atletico/PR Botafogo/RJ meio Fantastico 
22 Atletico/PR Gremio/RS semi-final Fantastico 
23 Atletico/PR Sao-Paulo/SP inicio Otimo 
24 Atletico/PR Atletico/MG inicio Ruim 
25 Atletico/PR Coritiba/PR semi Fantastico 
26 Atletico/PR Santos/SP semi Fantastico 
27 Atletico/PR Internacional/RS semi Fantastico 
28 Atletico/PR Palmeiras/SP semi-final Fantastico 
29 Atletico/PR Fluminense/RJ semi-final Fantastico 
30 Atletico/PR Cruzeiro/MG final Fantastico 
31 Atletico/PR Sport/PE final Fantastico 
32 Atletico/PR Nautico/PE meio Fantastico 
33 Atletico/PR Portuguesa/SP semi-final Fantastico 
34 Atletico/PR Vitoria/BA final Fantastico 
35 Atletico/PR Vasco/RJ semi Fantastico 
36 Atletico/PR Goias/GO inicio Fantastico 
37 Atletico/PR Ipatinga/MG meio Fantastico 
38 Atletico/PR Flamengo/RJ final Fantastico 
39 Botafogo/RJ Portuguesa/SP inicio Fantastico 
40 Botafogo/RJ Santos/SP semi-final Fantastico 
41 Botafogo/RJ Flamengo/RJ final Fantastico 
42 Botafogo/RJ Vasco/RJ inicio Fantastico 
43 Botafogo/RJ Palmeiras/SP meio Fantastico 
44 Botafogo/RJ Cruzeiro/MG meio Fantastico 
45 Botafogo/RJ Nautico/PE semi-final Fantastico 
46 Botafogo/RJ Internacional/RS semi-final Fantastico 
47 Botafogo/RJ Fluminense/RJ semi-final Fantastico 
48 Botafogo/RJ Sao-Paulo/SP final Fantastico 
49 Botafogo/RJ Figueirense/SC final Fantastico 
50 Botafogo/RJ Sport/PE inicio Fantastico 
51 Botafogo/RJ Coritiba/PR inicio Regular 
52 Botafogo/RJ Gremio/RS semi Fantastico 
53 Botafogo/RJ Goias/GO meio Fantastico 
54 Botafogo/RJ Atletico/PR final Fantastico 
55 Botafogo/RJ Vitoria/BA semi-final Fantastico 
